업무,공고번호-차수,분류,공고명,공고기관,수요기관,계약방법,입력일시(입찰마감일시),공동수급,투찰
용역,E011902379-00,일반,부천지역 전기공급시설 전력구공사(중동-고강) 건설폐기물 처리용역,한국전력공사,재무자재부,제한(총액),2019/03/28 09:49(2019/04/05 13:00),,한국전력공사 이동
용역,20190346793-00,긴급,연천BIX 조성사업 전기설계용역,경기주택도시공사,경기도시공사,제한경쟁,2019/03/28 09:47(2019/04/04 10:00),마감,마감
공사,20190346749-00,일반,시·유관기관 직장운동경기부 통합숙소 건립 전기공사,대전광역시,대전광역시,일반경쟁,2019/03/28 09:34(2019/04/04 10:00),마감,마감
공사,20190346723-00,일반,군자 차량기지 방음벽 화재 관련 전기시설물 복구공사,서울교통공사,서울교통공사,수의(소액),2019/03/28 09:24(2019/04/03 10:00),,마감
공사,20190346167-00,일반,중앙공급실 냉난방기 및 냉각탑 교체 전기공사,부산광역시 체육시설관리사업소,부산광역시 체육시설관리사업소,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/28 09:22(2019/04/03 10:00),,마감
물품,20190345762-00,긴급,서동초등학교 변전시설 전기공사 관급자재(폐쇄형배전반) 구입,충청남도교육청 충청남도서산교육지원청,충청남도교육청 충청남도서산교육지원청,지명(총액),2019/03/28 09:17(2019/04/03 10:00),,마감
용역,20190346711-00,일반,(정책연구용역) 원자력안전기준 강화 대책 등의 규제 정책에 대한 정책학 관점에서의 분석 연구,원자력안전위원회,원자력안전위원회,일반(총액)협상에의한계약,2019/03/28 09:02(2019/04/08 10:00),,마감
물품,20190342862-00,재입찰,2019년 공용차량(전기자동차)구입,경기도 안성시,경기도 안성시,일반(총액),2019/03/28 09:01(2019/04/03 16:00),,마감
공사,2019LDG00442019-03244-01,일반,전체 1차 7창 체력단련/동아리실 전기공사,육군제3808부대,제3808부대,수의계약(기타),2019/03/28 09:00(2019/04/03 10:00),,육군제3808부대 이동
공사,2019LDG00452019-03245-01,일반,전체 1차 11창 경계등/전기시설 보수공사,육군제3808부대,제3808부대,수의계약(기타),2019/03/28 09:00(2019/04/03 10:00),,육군제3808부대 이동
공사,2019LGS00302019-03138-01,일반,소방시설 안전점검 후속조치 전기공사,육군제8군단,제2003부대,수의계약(기타),2019/03/28 09:00(2019/04/03 10:00),,육군제8군단 이동
공사,2019LFN00112019-03274-01,긴급,노후전기시설 고압선로교체공사,국방부 육군제3사관학교,육군3사관학교,제한경쟁,2019/03/28 09:00(2019/04/03 10:00),,국방부 육군제3사관학교 이동
공사,2019LGT00552019-03220-01,일반,군단 법무부 노후 전기시설 보수(V-11),육군제2307부대,제2307부대,수의계약(기타),2019/03/28 09:00(2019/04/03 10:00),,육군제2307부대 이동
공사,2019SCH00232019-03273-01,일반,19-욕 생활관 및 노후시설 보수 전기공사,해군작전사령부,제8621부대,수의계약(기타),2019/03/28 09:00(2019/04/03 10:00),,해군작전사령부 이동
공사,2019LMG00432019-03327-01,일반,00지역 병영생활관 전기공사,제6군단사령부,제3169부대,수의계약(기타),2019/03/28 09:00(2019/04/03 10:00),,제6군단사령부 이동
물품,2019HCF003808411-01,일반,[항공지원장비(시동용 발전기) 부품] 콘덴서 등 17종,공군군수사령부,공군군수사령부,제한(총액),2019/03/28 09:00(2019/04/05 10:00),,공군군수사령부 이동
물품,2019HCF003908402-01,일반,[항공지원장비(시동용 발전기) 부품] 조절기 등 8종,공군군수사령부,공군군수사령부,일반(총액),2019/03/28 09:00(2019/04/05 10:00),,공군군수사령부 이동
물품,2019LCF010007600-02,재입찰,K277장갑차 발전기,엔진보조용 정비,국방부 육군군수사령부,육군군수사령부,제한(총액),2019/03/28 09:00(2019/04/03 11:00),,국방부 육군군수사령부 이동
물품,2019LCF009907621-02,재입찰,K21장갑차 발전기,엔진보조용 정비,국방부 육군군수사령부,육군군수사령부,제한(총액),2019/03/28 09:00(2019/04/03 11:00),,국방부 육군군수사령부 이동
공사,K19S048000-00,일반,고리본부 자체소방대 신축 전기 및 소방공사,한국수력원자력주식회사,한국수력원자력(주) 고리원자력본부, ,2019/03/28 08:00(2019/04/08 12:00),,한국수력원자력주식회사 이동
공사,20190346670-00,긴급,쌍백-봉수간 도로 건설공사 전기공사,경상남도,경상남도,일반경쟁,2019/03/28 07:38(2019/04/04 12:00),마감,마감
공사,20190346661-00,긴급,고창 노인복지회관 건립 전기공사(긴급) - 입찰대행,전라북도 고창군,전라북도 고창군,지역제한,2019/03/28 00:45(2019/04/04 14:00),,마감
물품,G041900180-00,일반,삼척 발전기 수소냉각계통 수소가스 누출감지기 구매,한국남부발전주식회사,삼척발전본부,제한(총액),2019/03/28 00:00(2019/04/08 13:00),,한국남부발전주식회사 이동
공사,20190346632-00,일반,완도군 하수도정비 중점관리지역 침수예방사업(전기 및 계측제어),전라남도 완도군,전라남도 완도군,제한경쟁,2019/03/27 22:28(2019/04/04 10:00),,마감
공사,20190346484-00,일반,과천시 직장운동경기부숙소 건립공사(전기),경기도 과천시,경기도 과천시,지역제한,2019/03/27 20:16(2019/04/02 10:00),,마감
용역,20190346477-00,일반,천북초 외 3교(불국중, 양북중, 영천여고) 화장실개선 및 기타 전기공사 설계용역,경상북도교육청 경상북도경주교육지원청,경상북도교육청 경상북도경주교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/27 19:43(2019/04/02 10:00),,마감
공사,20190346433-00,일반,정선초 별관동 보수 전기공사,강원도교육청 강원도정선교육지원청,강원도교육청 강원도정선교육지원청,수의(소액),2019/03/27 19:36(2019/04/02 10:00),,마감
물품,U190250010-01,일반,한울3발 전기팀 접촉기 1품목 (A등급),한국수력원자력주식회사,한국수력원자력(주) 관리본부,일반(총액),2019/03/27 19:00(2019/04/02 11:30),,한국수력원자력주식회사 이동
물품,20190346427-00,일반,수변구역 순찰 및 주민지원사업 지도점검용 차량(전기자동차)구입,충청북도 충주시,충청북도 충주시,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/27 18:56(2019/04/02 10:00),,마감
물품,20190345781-00,일반,서울고일초 교사 증축 및 리모델링 전기공사 관급자재(LED전등기구) 구매,서울특별시교육청 서울특별시강동송파교육지원청,서울특별시교육청 서울특별시강동송파교육지원청,제한(총액),2019/03/27 18:46(2019/04/04 10:00),,마감
공사,20190346399-00,긴급,1호선 구서역 전기설비 교체공사,부산교통공사,부산교통공사,지역제한,2019/03/27 18:41(2019/04/03 10:00),,마감
공사,20190346389-00,긴급,석문면(장고항리, 통정리) 하수관로 정비공사(전기 및 계측제어),충청남도 당진시,충청남도 당진시,지역제한,2019/03/27 18:34(2019/04/02 10:00),,마감
공사,20190346281-00,일반,신정평화시장 지하스프링클러 교체공사(전기),울산광역시 남구,울산광역시 남구,수의(소액),2019/03/27 18:30(2019/04/02 10:00),,마감
용역,20190346103-00,일반,1호선 제기변전소 등 5개 전기기능실 노후전력설비 개량공사 실시설계 용역,서울교통공사,서울교통공사,제한경쟁,2019/03/27 18:29(2019/04/04 10:00),,마감
공사,20190346378-00,긴급,석문(삼봉리) 하수관거 정비공사(전기 및 계측제어),충청남도 당진시,충청남도 당진시,지역제한,2019/03/27 18:26(2019/04/02 10:00),,마감
용역,20190346308-00,일반,궁평초 외 1교(상리초) 체육관 증축 전기, 통신, 소방(전기)공사 설계용역,경기도교육청 경기도연천교육지원청,경기도교육청 경기도연천교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/27 18:13(2019/04/02 10:30),마감,마감
공사,20190341121-01,재입찰,2018년 수산물 산지가공시설 지원사업(전기),경상남도 통영시,경상남도 통영시,수의(소액),2019/03/27 18:10(2019/04/02 18:00),,마감
공사,20190346301-00,일반,2019년 회문산자연휴양림 노후 전력시설물 개선공사(전기),산림청 국립자연휴양림관리소,산림청 국립자연휴양림관리소,제한경쟁,2019/03/27 18:03(2019/04/04 10:00),,마감
용역,20190346219-00,일반,대광초 전기용량 증설 및 전기판넬 교체 전기공사 설계용역,경기도교육청 경기도연천교육지원청,경기도교육청 경기도연천교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/27 17:56(2019/04/02 10:00),,마감
물품,9215377-00,변경,(중앙전동차)전기동차 보조전원장치(현대 190KVA) 부품교환(재공고),한국철도공사,한국철도공사,일반(총액),2019/03/27 17:54(2019/04/02 15:00),,한국철도공사 이동
공사,1900830-00,일반,동해천곡6 외 2개 아파트세대 및 공용부위 조명교체 전기공사,한국토지주택공사,한국토지주택공사,지역제한,2019/03/27 17:50(2019/04/04 14:00),,한국토지주택공사 이동
공사,20190346213-00,일반,빗물펌프장 전기설비 유지보수공사(연간단가),서울특별시 송파구,서울특별시 송파구,제한경쟁,2019/03/27 17:44(2019/04/04 14:00),,마감
물품,20190342618-01,취소,실험실용 전기로 구입,경상남도 보건환경연구원,경상남도 보건환경연구원,수의(총액)소액수의,2019/03/27 17:39(2019/03/29 12:00),,
공사,20190345438-00,일반,영주 이당고택 보수정비 전기공사,경상북도 영주시,경상북도 영주시,수의(소액),2019/03/27 17:30(2019/04/02 10:00),,마감
공사,20190346146-00,일반,신장1동 제역마을 커뮤니티센터 건립 전기공사,경기도 평택시,경기도 평택시,수의(소액),2019/03/27 17:27(2019/04/02 10:00),,마감
용역,20190346098-00,일반,상천초 화장실개선 전기공사 설계용역,경기도교육청 경기도가평교육지원청,경기도교육청 경기도가평교육지원청,수의(총액)소액-견적입찰(2인 이상 견적 제출),2019/03/27 17:18(2019/04/02 10:00),,마감
공사,20190346096-00,긴급,양주시청소년공부방 인테리어(전기) 공사,경기도 양주시,경기도 양주시,수의(소액),2019/03/27 17:16(2019/04/02 10:00),,마감
용역,9215359-00,일반,★전기철도분야 시공기술자 필수★2019년도 대전충남 시설작업에 따른 전차선로 조정보수용역,한국철도공사,한국철도공사,제한(총액),2019/03/27 17:12(2019/04/04 10:00),,한국철도공사 이동
공사,B3201900865-00,일반,광주용인공동취수장 전기시설공사,한국수자원공사,한국수자원공사 광주수도관리단, ,2019/03/27 17:00(2019/04/02 18:00),,한국수자원공사 이동
공사,20190346021-00,일반,삼천포중앙시장 전기시설 보수공사,경상남도 사천시,경상남도 사천시,수의(소액),2019/03/27 16:56(2019/04/02 10:00),,마감
공사,20190346016-00,일반,동수.오량농공단지 LED 가로등기구 교체 전기공사,전라남도 나주시,전라남도 나주시,수의(소액),2019/03/27 16:56(2019/04/02 10:00),,마감
용역,E011902372-00,일반,V2X 전기농기계 충방전 운영시스템 SW 개발,한국전력공사,계약파트,제한(총액),2019/03/27 16:37(2019/04/09 14:00),,한국전력공사 이동
공사,20190344934-00,일반,십리대숲 산책로 죽림욕장 조성 전기공사,울산광역시,울산광역시,지역제한,2019/03/27 16:34(2019/04/02 10:00),,마감
공사,20190345857-00,일반,2019년 전기설비 유지보수 공사(장기계속단가계약),서울특별시,서울특별시,지역제한,2019/03/27 16:18(2019/04/04 16:00),,마감
공사,20190345317-00,일반,시흥신일초 급식실 증축 및 개선 전기공사 제한경쟁입찰 공고,경기도교육청 경기도시흥교육지원청,경기도교육청 경기도시흥교육지원청,제한경쟁,2019/03/27 16:16(2019/04/04 10:00),,마감
용역,E011902374-00,일반,광주지역 전기공급시설 전력구공사(계림-일곡) 건설폐기물 처리용역,한국전력공사,경영지원부,일반(총액),2019/03/27 16:09(2019/04/04 12:00),,한국전력공사 이동
공사,20190345784-00,일반,경원선 청량리역 신호계전기실 통신설비 이설 기타공사,한국철도공사 회계통합센터,한국철도공사 회계통합센터,지역제한,2019/03/27 16:04(2019/04/04 10:00),,마감
공사,20190345683-00,일반,오학동 주민센터 건립(소방전기)공사,경기도 여주시,경기도 여주시,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/27 15:33(2019/04/02 10:00),,마감
공사,20190342576-00,일반,제00사단 포상진지 및 비행추적기 건립공사(전기),경기도 시흥시,경기도 시흥시,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/27 15:15(2019/04/03 10:00),,마감
공사,20190345578-00,긴급,경북과학고등학교 진입도로 개설 전기공사,경상북도 포항시 건설교통사업본부,경상북도 포항시 건설교통사업본부,지역제한,2019/03/27 15:09(2019/04/02 10:00),,마감
공사,20190345168-00,일반,진영농협 APC(농산물산지유통센터)증축공사 입찰공고(전기공사),진영농업협동조합,진영농업협동조합,제한경쟁,2019/03/27 15:04(2019/04/05 10:00),,마감
공사,20190343617-00,일반,전주특수교육지원센터 조명시설개선 및 기타 전기공사,전라북도교육청 전라북도전주교육지원청,전라북도교육청 전라북도전주교육지원청,수의(소액)-견적입찰(2인 이상 견적 제출),2019/03/27 15:02(2019/04/02 10:00),,마감
